cohort,cls,median_pct,q1_pct,q3_pct,min_pct,max_pct,n_reps
Obesity,Preservado,33.42857142857143,31.285714285714285,35.89285714285714,24,42.714285714285715,300
Obesity,Impairment_limitrofe,30.142857142857142,28.714285714285715,32.142857142857146,22.428571428571427,36.857142857142854,300
Obesity,Impaired,21.857142857142858,20.428571428571427,23.46428571428571,15.571428571428571,33.142857142857146,300
Obesity,Altered,6,3.857142857142857,8.892857142857142,0.5714285714285714,22.714285714285715,300
Obesity,Blunted,4.142857142857143,1.2857142857142858,6.571428571428571,0.14285714285714285,12.857142857142858,280
Obesity,Enhanced,2,1,5.571428571428571,0.14285714285714285,11.571428571428571,283
Obesity_T2DM,Impaired,27.142857142857142,25.142857142857142,29.428571428571427,18,38,300
Obesity_T2DM,Impairment_limitrofe,23.428571428571427,21.357142857142854,25.714285714285715,12.285714285714286,32,300
Obesity_T2DM,Preservado,19.142857142857142,16.857142857142858,21.214285714285715,10.857142857142858,30.285714285714285,300
Obesity_T2DM,Altered,16,13.142857142857142,19.428571428571427,2.857142857142857,29.714285714285715,300
Obesity_T2DM,Blunted,10.285714285714286,0.8571428571428571,14.285714285714286,0.2857142857142857,24.857142857142858,262
Obesity_T2DM,Enhanced,5,0.5714285714285714,12.571428571428571,0.2857142857142857,27.428571428571427,246
RYGBP,Altered,36.2,33.6,38.849999999999994,23,46.8,300
RYGBP,Impaired,20.2,18.2,22,11.8,31.2,300
RYGBP,Impairment_limitrofe,15.8,13.6,18.25,8.2,28,300
RYGBP,Enhanced,12.7,0.4,19.8,0.2,32.4,262
RYGBP,Preservado,9.6,8.350000000000001,12.450000000000001,3.8,24.8,300
RYGBP,Blunted,2.8,0.4,17.2,0.2,31.2,243
SG,Preservado,26,23.142857142857142,29.714285714285715,17.142857142857142,38.57142857142857,300
SG,Impairment_limitrofe,24.285714285714285,21.714285714285715,27.142857142857142,16.571428571428573,34.857142857142854,300
SG,Impaired,22.857142857142858,20.571428571428573,25.714285714285715,14.285714285714286,32.57142857142857,300
SG,Altered,14.857142857142858,11.142857142857142,20,3.142857142857143,37.714285714285715,300
SG,Enhanced,5.142857142857143,0.5714285714285714,10.857142857142858,0.2857142857142857,24.571428571428573,265
SG,Blunted,1.7142857142857142,0.5714285714285714,8.571428571428571,0.2857142857142857,23.714285714285715,245
T2DM,Impaired,28,25.5,30.5,17.5,40,300
T2DM,Impairment_limitrofe,24,21,27,13.5,41.5,300
T2DM,Preservado,20,17.5,23.5,8.5,38,300
T2DM,Altered,15,10,20,1,31.5,300
T2DM,Blunted,9,4.5,13,0.5,31,213
T2DM,Enhanced,6.5,1,13,0.5,26.5,189
no_obese_without_T2DM,Preservado,41.69230769230769,40,43.11538461538461,33.84615384615385,48.15384615384615,300
no_obese_without_T2DM,Impairment_limitrofe,29.23076923076923,27.384615384615383,30.923076923076923,22,36,300
no_obese_without_T2DM,Impaired,16,14.615384615384615,17.53846153846154,8.923076923076923,22.923076923076923,300
no_obese_without_T2DM,Altered,8.923076923076923,7.538461538461538,11.538461538461538,3.6923076923076925,19.846153846153847,300
no_obese_without_T2DM,Enhanced,1.8461538461538463,1.0769230769230769,2.6153846153846154,0.15384615384615385,6.923076923076923,296
no_obese_without_T2DM,Blunted,1.5384615384615385,0.9230769230769231,2.3076923076923075,0.15384615384615385,5.6923076923076925,295
