cohort,cls,median_pct,q1_pct,q3_pct,min_pct,max_pct,n_reps,b50_median,b50_q1,b50_q3,median_drift,iqr_ratio
Obesity,Preservado,33.42857142857143,31.285714285714285,35.89285714285714,24,42.714285714285715,300,33.857142857142854,31.892857142857142,36.64285714285714,-0.4285714285714235,0.9699248120300753
Obesity,Impairment_limitrofe,30.142857142857142,28.714285714285715,32.142857142857146,22.428571428571427,36.857142857142854,300,29.785714285714285,28.17857142857143,31.25,0.35714285714285765,1.1162790697674432
Obesity,Impaired,21.857142857142858,20.428571428571427,23.46428571428571,15.571428571428571,33.142857142857146,300,22.214285714285715,20.5,23.82142857142857,-0.35714285714285765,0.9139784946236562
Obesity,Altered,6,3.857142857142857,8.892857142857142,0.5714285714285714,22.714285714285715,300,6,3.928571428571429,9.5,0,0.9038461538461537
Obesity,Blunted,4.142857142857143,1.2857142857142858,6.571428571428571,0.14285714285714285,12.857142857142858,280,3.7142857142857144,1.2857142857142858,6.5,0.4285714285714288,1.0136986301369864
Obesity,Enhanced,2,1,5.571428571428571,0.14285714285714285,11.571428571428571,283,2.071428571428571,1.25,5.035714285714286,-0.07142857142857117,1.2075471698113207
Obesity_T2DM,Impaired,27.142857142857142,25.142857142857142,29.428571428571427,18,38,300,27.57142857142857,25.214285714285715,29.642857142857142,-0.42857142857142705,0.9677419354838711
Obesity_T2DM,Impairment_limitrofe,23.428571428571427,21.357142857142854,25.714285714285715,12.285714285714286,32,300,23.857142857142858,22,26.214285714285715,-0.4285714285714306,1.0338983050847466
Obesity_T2DM,Preservado,19.142857142857142,16.857142857142858,21.214285714285715,10.857142857142858,30.285714285714285,300,19.428571428571427,16.642857142857146,20.785714285714285,-0.2857142857142847,1.0517241379310356
Obesity_T2DM,Altered,16,13.142857142857142,19.428571428571427,2.857142857142857,29.714285714285715,300,15,11.714285714285714,19.21428571428571,1,0.8380952380952381
Obesity_T2DM,Blunted,10.285714285714286,0.8571428571428571,14.285714285714286,0.2857142857142857,24.857142857142858,262,10.857142857142858,0.8571428571428571,14.857142857142858,-0.5714285714285712,0.9591836734693878
Obesity_T2DM,Enhanced,5,0.5714285714285714,12.571428571428571,0.2857142857142857,27.428571428571427,246,4.857142857142858,0.5714285714285714,11.142857142857142,0.14285714285714235,1.135135135135135
RYGBP,Altered,36.2,33.6,38.849999999999994,23,46.8,300,37.1,34.449999999999996,40.150000000000006,-0.8999999999999986,0.9210526315789446
RYGBP,Impaired,20.2,18.2,22,11.8,31.2,300,20.299999999999997,18.8,22,-0.09999999999999787,1.1875000000000004
RYGBP,Impairment_limitrofe,15.8,13.6,18.25,8.2,28,300,15.4,13.6,16.4,0.40000000000000036,1.6607142857142865
RYGBP,Enhanced,12.7,0.4,19.8,0.2,32.4,262,12.4,0.45000000000000007,20.95,0.29999999999999893,0.9463414634146342
RYGBP,Preservado,9.6,8.350000000000001,12.450000000000001,3.8,24.8,300,9.2,7.6,11.45,0.40000000000000036,1.0649350649350648
RYGBP,Blunted,2.8,0.4,17.2,0.2,31.2,243,2.4,0.4,16.4,0.3999999999999999,1.0500000000000003
SG,Preservado,26,23.142857142857142,29.714285714285715,17.142857142857142,38.57142857142857,300,25.428571428571427,22.07142857142857,29.5,0.571428571428573,0.8846153846153846
SG,Impairment_limitrofe,24.285714285714285,21.714285714285715,27.142857142857142,16.571428571428573,34.857142857142854,300,24.714285714285715,23.214285714285715,27.142857142857142,-0.4285714285714306,1.381818181818182
SG,Impaired,22.857142857142858,20.571428571428573,25.714285714285715,14.285714285714286,32.57142857142857,300,22.571428571428573,21.714285714285715,25,0.2857142857142847,1.5652173913043481
SG,Altered,14.857142857142858,11.142857142857142,20,3.142857142857143,37.714285714285715,300,14.714285714285715,10.357142857142858,20.57142857142857,0.14285714285714235,0.8671328671328674
SG,Enhanced,5.142857142857143,0.5714285714285714,10.857142857142858,0.2857142857142857,24.571428571428573,265,4.857142857142857,0.5714285714285714,13,0.2857142857142865,0.8275862068965518
SG,Blunted,1.7142857142857142,0.5714285714285714,8.571428571428571,0.2857142857142857,23.714285714285715,245,2.2857142857142856,0.5714285714285714,8.857142857142858,-0.5714285714285714,0.9655172413793103
T2DM,Impaired,28,25.5,30.5,17.5,40,300,27.75,25.125,30,0.25,1.0256410256410255
T2DM,Impairment_limitrofe,24,21,27,13.5,41.5,300,24.25,21.125,27,-0.25,1.0212765957446808
T2DM,Preservado,20,17.5,23.5,8.5,38,300,20.25,18.5,24,-0.25,1.0909090909090908
